quote
英雄只是做了自己能力范围内的事， 凡人却是做得到的事不去做，而门想着那些做不到的事。 -----罗曼*罗兰 
傲骨不可无，傲心不可有。无傲骨则近于鄙夫，有熬心不得为君子。----涨潮 
把希望和理想瓜在嘴上，就会跌进希望的枯井。  -----伯格森 
别为了单纯的爱而把人生的一切都望了。  -----鲁迅
"不要对一切人都以不信任的眼光看待, 但要谨慎而坚定。—— 德谟克里特"
不要急着决定，因为你经过一夜的深思熟虑之后，会涌现出跟好的智慧。--普希金
不要慨叹生活底痛苦！---慨叹是弱者...... —— 高尔基 
常求有利别人，不求有利自己。 —— 谢觉
沉默较之言不由衷的话更有益于社交。—— 蒙 田  
成为卓越的代名词，很多人并不能适合需要杰出素质的环境。成功没有捷径。你必须把卓越转变成你身上的一个特质。最大限度的发挥你的天赋、才能、技巧，把其他所有人甩在你后面。高标准严格自己，把注意力集中在那些将会改变一切的细节上。变得卓越并不艰难，从现在开始尽自己最大能力去做，你会发现生活将给你惊人的回报。————  苹果CEO乔布斯
除了少见的天才，大多数人的聪明才智其实差不了太多。人的成就之所以不同，多半是心态的缘故。————  董思阳
读书读得越多而不加思考，你会觉得你知道得很多。 可是，当你读书而考得越多的时候， 你就会清楚地看到你知道的还很少。  -----伏尔泰 
多听，少说，接受每一个人的责难，但是保留你的最后裁决。—— 莎士比亚
凡事只要看得淡些，就没有什么可忧虑的了；只要不因愤怒而夸大事态，就没有什么事情值得生气的了   —— 屠格涅夫
凡事总要有信心，老想着“行”。要是做一件事，先担心着怕不行。那你就没有了勇气 -----盖叫天
古之立大志者，不惟有超世之才，亦必有坚韧不拔之志。——苏轼
过去属于死神，未来属于你自己。—— 雪莱
衡量一个人的真正品格，是看他在知道没人看见的时候干些什么。——孟德斯鸠
几个苍蝇咬几口，决不能羁留一匹英勇的奔马。 —— 伏尔泰
骄傲是无知的产物。  ----苏格拉底
骄傲自满是我们的一座可怕的陷阱，而且这座陷阱是我们自己亲手挖的。--老舍 
困难是人生的教科书。-----谚语 
没有独立精神的人，一定依赖别人，依赖别人的人一定怕人，怕人的人一定阿谀-----福泽谕吉
梦想无论怎样模糊，总潜伏在我们心底，使我们的心境永远得不到宁静，直到这些梦想成为现实。? ? ? ? ? ? ? ? ? -----林语堂 
迷而知返，失道不远，过儿能改，谓之不过。 -----晋*陈寿 
民之所欲，天必从之。  （周）姬旦
"哪里有天才,我是把别人喝咖啡的功夫都用在工作上的.  ------鲁迅 "
判断一个人，不是根据他自己的表白或对自己的看法，而是根据他的行动。—— 列宁
岂能尽如人意，但求无愧我心！——林则徐  
强大的勇气、崭新的毅志---这就是希望 -----马丁.路德
穷则独善其身，达则兼济天下。 ——孟子
人不光是靠他生来就拥有一切，而是靠他从学习中所得到的一切来造就自己。                       ——  歌德
人不可有傲气，但不可无傲骨。——徐悲鸿  
人的差异在于业余时间。 ——爱因斯坦
人的一生可能燃烧也可能腐朽，我不能腐朽，我愿意燃烧起来！—— 奥斯特洛夫斯基
人可以这样分，有的人先思考后说话或行动，有的人先说话或行动后思考。 -----列夫托尔斯泰  
人生不是一种享乐，而是一桩十分沉重的工作。—— 列夫·托尔斯泰
人有不及，可以情恕。 《晋书》
任何人都应该有自尊心、自信心、独立性，不然就是奴才。但自尊不是轻人， 
容易发怒，是品格上最为显著的弱点。 —— 但 丁
如果错过太阳时你流了泪，那么你也要错过群星。 ——泰戈尔
上天完全是为了坚强我们的意志，才在我们的道路上设下重重的障碍。  
少而好学，如日出之阳；壮而好学，如日中之光；老而好学，如炳烛之明。—— 刘向
盛年不重来，一日难再晨。及时当勉励，岁月不待人。——陶渊明
世界上最快乐的事，莫过于为理想而奋斗。 ——苏格拉底
事情的愚蠢莫过于把希望寄托在别人身上。  -----肯比斯
事业常成于坚忍，毁于急躁。—— 萨迪  
思而后行，以免做出蠢事。因为草率的动作和言语，均是卑劣的特征。 —— 毕达哥拉斯
他们固然由于毅力而成为伟大，可是也由于灾患而成为伟大。
天赋如同自然花木，要用学习来修剪————  （英国）培根
天真的梦想在现实面前总归要失败。 -----史比德勒
为了生活中努力发挥自己的作用，热爱人生吧。—— 罗丹
为了争取将来的美好而牺牲了的人，都是一尊石质的雕像。—— 伏契克 
唯有人，能凭借意志的力量与天地争辉。  -----雪莱
未来是光明而美丽的，爱它吧，向它突进，为它工作，迎接它，尽可能地使它成为现实吧！—— 车尔尼雪夫斯基 
